Code,Name,CompanyName,Pack,Mrp
9047,1-AL  5MG TAB,FDC LTD,10TAB,34.65
12906,1-AL 10MG TAB,FDC LTD,15TAB,92.4
15317,1-AL M SYP,FDC LTD,60ML,82.5
9116,1-AL SYP,FDC LTD,30ML,42
9313,1-AL TOTAL SYP,FDC LTD,60ML,58.25
28183,10CAP,BIOREX H,10CAP,155
37058,10TAB,BESTEAD,10TAB,369
37080,10TAB,ALKEM,10TAB,47.5
37074,10TAB,MIRAZ,10TAB,699
37075,10TAB,MIRAZ,10TAB,126
37059,10TAB,Vitalae,10TAB,379
37126,10TAB,GLENMARK,10TAB,0
18013,1AL M TAB,FDC LTD,10TAB,110
34089,1M HYGIENE WASH 100 GM,OZONE,100GM,96.36
27168,1ML TB SYRNGE,OTHERS,1PCS,6.5
30040,20TAB,HIMALAYA,20TAB,0
27680,3 IN 1 MATTE LOOK SPF-40 100GM,LOTUS,100GM,465
27679,3 IN 1 MATTE LOOK SPF-40 50GM,LOTUS,50GM,315
26184,3 PLY MASK WITH NOSEPIN,OTHERS,1PCS,399
28000,3M HANDRUB,OTHERS,500ML,250
28608,3M MICROPORE TAPE 1.2.5CM,SURGICAL,1.2.5CM,0
28609,3M MICROPORE TAPE 2.5CM,SURGICAL,1PCS,0
28610,3M MICROPORE TAPE 3.7.5CM,SURGICAL,1PCS,0
15175,3PLY MASK,DAILYMATE,1MASK,800
30984,4QUIN BROM EYE DROP,ENTOD PH,5ML,194
30985,4QUIN EYE DROP,ENTOD PH,5ML,156
31847,4QUIN EYE/OINT 5GM,ENTOD PH,5GM,125.5
30987,4QUIN LOT,ENTOD PH,5ML,200
30986,4QUIN-D EYE DROP,ENTOD PH,5ML,100
31840,4QUIN-KT EYE DROP 5ML,ENTOD PH,5ML,131
20891,4U -Q10 PLUS SOFTGEL,D.R JOHN,10TAB,574.75
32496,6TYNOR ELASTIC KNEE SUPPORT M,TYNOR LT,1N,700
35399,7-LA SUSP 250ML,FDC LTD,250ML,131
12070,7CLOCK PLASTIC RAZOR,P&G,1S,22
21807,7DZOCEF O,ADZO,10TAB,225
27527,8X CREAM  30GM,CIPLA,30GM,245.63
30291,8X SHAMPOO 120ML,CIPLA,120ML,490.52
30696,8X-KT SHAMPOO 60ML,CIPLA,60ML,275
8292,9 PM EYE DROP,CIPLA,2.5ML,610.49
19230,99F 650 TAB,FDC LTD,15TAB,33.6
19231,99F SUSPENSION,FDC LTD,60ML,40.32
24376,9M OVAL THEROMETER,OTHERS,1,240
32533,A FOL PLUS CAP,LINCOLN,10CAP,101.2
4434,A STAR SR TAB,D.R JOHN,10TAB,47.5
36379,A TO Z AMINO TAB,ALKEM,15TAB,225
6558,A TO Z GOLD SOFTGEL CAP,ALKEM,15CAP,225
23777,A TO Z IMMUNE TAB,ALKEM,16TAB,237
6526,A TO Z NS + TAB,ALKEM,15TAB,175
6695,A TO Z NS ORAL DROP,ALKEM,15ML,70.5
23864,A TO Z NS SYP,ALKEM,200ML,190
7566,A TO Z WOMEN CAP,ALKEM,15CAP,363
30737,A-CEF 2GM,AAA PHAR,2GM,159
15144,A-DERMA EPITHELIALE A.H DUO CR,ABBOTT INDIA,10TAB,0
10827,A-PHYL,FRANCO I,10TAB,127
29762,A-RET 0.025% GEL 20GM,MENARINI,20GM,120
29763,A-RET 0.05% GEL 20GM,MENARINI,20GM,154
18921,A-RET 0.1% GEL 20GM,MENARINI,20GM,195
29764,A-RET HC CREAM 15GM,MENARINI,15GM,180
11983,A.C. OIL,AC SURGI,150ML,105
11985,A.C. OIL,AC SURGI,75ML,45
11987,A.C. SHAMPOO,AC SURGI,80ML,65
11988,A.C. SHAMPOO,AC SURGI,170ML,140
27051,AACTARIL SOAP 75GM,HIMALAYA,75GM,80
26473,AAMLA CHURNA 100GM,DABUR IN,100GM,90
21495,AAMLA JUICE 1LTR ( GOOSE BERRY),GOOSE BE,1000ML,215
31004,AARA EYE DROP,SUNWAYS,10ML,0
22704,AAYOG ADVANCE,KEPLER,200ML,4500
28653,AAYOG AV ORAL LIQUID 100ML,KEPLER,100ML,160
22703,AAYOG PROTECT,KEPLER,200ML,750
21296,AB BELT L,AB LIFECARE,OC-2002,570
21297,AB BELT M,AB LIFECARE,1TAB,570
21293,AB BELT S,AB LIFECARE,OC-2002,550
21294,AB BELT XL,AB LIFECARE,OC -2002,570
35912,AB FLO CAP,LUPIN,15TAB,243.85
32773,AB PANTS JUMBO PM DM,P&G,1N,849
25979,AB PANTS LARGE SUPER VALUE,AB LIFECARE,1PCS,299
24524,AB PANTS LG 2S SP,AB LIFECARE,2PCS,28
24523,AB PANTS LG REG PK,AB LIFECARE,1PCS,99
31131,AB PANTS LG SUP JUMBO PM,P&G,1N,1399
31738,AB PANTS LG SUP JUMBO PM,P&G,1PCS,1399
21981,AB PANTS LG SUPER VALUE,AB LIFECARE,1PCS,299
24447,AB PANTS MD 2S,AB LIFECARE,1PCS,24
21985,AB PANTS MD REG 99,AB LIFECARE,99PANTS,99
31130,AB PANTS MD SUP JUMBO PM,P&G,1N,1399
28460,AB PANTS MD SUPER VALUE,AB LIFECARE,1PCS,0
25978,AB PANTS MEDIUM JUMBO NEW 50N,AB LIFECARE,50PCS,649
21986,AB PANTS MEDIUM SUPER VALUE,AB LIFECARE,1PCS,299
24449,AB PANTS MEGA 90,AB LIFECARE,90PCS,899
24448,AB PANTS MEGA XL,AB LIFECARE,1PCS,1149
26208,AB PANTS NB 2S,AB LIFECARE,2PCS,18
24446,AB PANTS NB JUMBO,AB LIFECARE,1PCS,649
23956,AB PANTS NB REG,AB LIFECARE,1PCS,99
24445,AB PANTS SM 2S,AB LIFECARE,1PCS,20
21995,AB PANTS SM REG,AB LIFECARE,1PCS,99
21997,AB PANTS SM SUPER VALUE,AB LIFECARE,1PCS,299
22000,AB PANTS XL 20,AB LIFECARE,20PANTS,399
24147,AB PANTS XL 2S SP,AB LIFECARE,2PCS,35
21999,AB PANTS XL REG,AB LIFECARE,1PCS,99
24443,AB PANTS XL SUP JUMBO PM,P&G,1PCS,1399
24444,AB PANTS XL SUPER VALUE,AB LIFECARE,1PCS,299
22002,AB PANTS XXL 42,AB LIFECARE,16PANTS,1199
22001,AB PANTS XXL 8,AB LIFECARE,8PANTS,62
31737,AB PANTS XXL JUMBO PK,P&G,1PCS,899
22003,AB PANTS XXXL 23,AB LIFECARE,23PANTS,1149
35918,AB PHYLLINE 15CAP,SUN PHARMA,15CAP,265.5
13764,AB PHYLLINE N TAB,SUN PHARMA,10TAB,229
13708,AB PHYLLINE SR 200 TAB,SUN PHARMA,10TAB,276
15176,AB PHYLLINE SYP,SUN PHARMA,100ML,178
31626,AB PRESS EYE DROP,ENTOD PH,5ML,300
31627,AB PRESS PF EYE DROP,ENTOD PH,10ML,437.5
10663,AB-FLO CAP,LUPIN,10CAP,246.6
10750,AB-FLO-N TAB,LUPIN,10TAB,243.85
10666,AB-FLO-SR TAB,LUPIN,10TAB,270
601,ABANA TAB,HIMALAYA,60TAB,185
16473,ABDOMINAL SUPP 9 INCH,TYNOR LT,1UNIT,630
32091,ABDOWELL SACHET 1GM,LUPIN,1GM,57.5
18641,ABEL 40 TAB,LUPIN,10TAB,139.45
28742,ABETANEURON D3,RADICOOL,10TAB,309
28747,ABETANEURON PLUS,RADICOOL,10TAB,375
28368,ABETANEURON-LC,RADICOOL,10TAB,309
26488,ABETANEURON-OD,RADICOOL,10TAB,415
14811,Abetcola Tablet,RADICOOL,10TAB,365
26411,ABEVIA CAP,MANKIND,10CAP,69.8
26413,ABEVIA N,MANKIND,10TAB,0
16179,ABHAYARISTHA 450ML,DABUR IN,450ML,175
17255,ABHAYRAB INJ*,INDIAN I,0.5ML,397.62
27968,ABHAYRAB-PF,INDIAN I,1N,397.62
28883,ABHAYTOX INJ,HUMAN BI,0.5ML,13.08
32388,ABIWAYS 200 SR TAB,MANKIND,10TAB,190
22145,ABIWAYS TAB,MANKIND,15TAB,262.5
25675,ABIWAYS-M TAB,MANKIND,10TAB,200
33866,ABLOR M TAB,ANTARES,10TAB,290
32193,ABLUNG SR 200MG TAB,CIPLA,10TAB,216.7
19202,ABOCAL 500 TAB,ABBOTT INDIA,15TAB,159.28
36839,ABOROS 20MG TAB,LA RENON,10TAB,0
6995,ABOVE 5 RABEPRA 20M,PFIZER,6TAB,41.1
6996,ABOVE 5D RABEPRAZOL,PFIZER,6TAB,50.16
16474,ABS  GAUZE (90*18),ABS SURG,90PC*18M,600
16442,ABS COTTON 15GM,ABS SURG,15GM,20
17674,ABS COTTON 200GM,ABS SURG,200GM,165
16444,ABS COTTON 30GM,ABS SURG,30GM,35
16684,ABS COTTON 500GM,ABS SURG,500GM,350
16443,ABS COTTON 70GM,ABS SURG,70GM,65
8333,ABSOLUT 3G CAP,PHARMED,10CAP,196
24950,ABSOLUT GOLD CAP,PHARMED,10CAP,200
24457,ABSOLUT PLUS TAB,PHARMED,10TAB,172
8335,ABSOLUT WOMAN CAP,PHARMED,10CAP,220
10153,ABSOLUT-DM CAP,PHARMED,15CAP,335
22087,ABSORBENT COTTON ROLL,ABSORBEN,15GM,95
24098,ABSORBENT COTTON ROLL,ABSORBEN,150 GM,95
22085,ABSORBENT COTTON ROLL 15GM,ABSORBEN,15GM,360
18039,ABSORBENT COTTON ROLL 200GM,ABSORBEN,200GM,1041.6
18040,ABSORBENT COTTON ROLL 300GM,ABSORBEN,300GM,155
18037,ABSORBENT COTTON ROLL 30GM,ABSORBEN,30GM,720
18036,ABSORBENT COTTON ROLL 500GM,ABSORBEN,500GM,250
18038,ABSORBENT COTTON ROLL 70GM,ABSORBEN,70GM,360
33461,ABVIDA 50MG TAB,ABBOTT HEALT,15TAB,181.46
34779,ABVIDA M 50/500 TAB,ABBOTT HEALT,15TAB,239.52
33462,ABVIDA SR 100,ABBOTT HEALT,15TAB,235.92
36591,ABVIDA TRIO 500MG TAB,ABBOTT HEALT,10TAB,166.2
36597,ABVIDA-D 10MG TAB,ABBOTT HEALT,10TAB,190
19447,ABZORB ANTIFUNGAL SOAP 100GM,RANBAXY,100GM,138
16751,ABZORB DUSTING POWDER 50GM,RANBAXY,50GM,90
15201,ABZORB POWDER 120GM,RANBAXY,100GM,160
16462,AC  THERMOMETER MT 1027,AC SURGI,1TAB,310
16687,AC PULSE OXYMETER,AC SURGI,1TAB,3600
16452,AC THERMOMETER 1027,AC SURGI,1TAB,310
28384,AC-FOE NIGHT GEL 15GM,INSUTIK,15GM,150
36441,AC-RID,MEDICAME,10CAP,312
18756,ACAMPROL TAB,SUN PHARMA,6TAB,114
28760,ACAMPTAS 333 TAB,INTAS PH,6TAB,106.5
29720,ACCARE FACE CLINGERS,SURECARE,1PCS,360
22093,ACCU CHECK ACTIVE,SURGICAL,50PCS,975
22094,ACCU CHECK ACTIVE STRIP,SURGICAL,100GM,1725
17097,ACCU CHECK ACTIVE STRIP 50S,SURGICAL,50PCS,975
22095,ACCU CHECK INSTANT,SURGICAL,50PCS,975
22307,ACCU CHECK INSTANT 10,SURGICAL,10PCS,425
27728,ACCU CHECK INSTANT 25S,SURGICAL,25PCS,749
17098,ACCU CHECK INSTANT S MACHINE,SURGICAL,1PCS,1099
18054,ACCU CHEK ACTIVE,SURGICAL,50PCS,975
22597,ACCU CHEK ACTIVE  KIT,SURGICAL,1KIT,1599
22894,ACCU CHEK ACTIVE 25S,SURGICAL,25STRIPS,749
16445,ACCU CHEK ACTIVE MTR+STRIP,SURGICAL,1PCS,1599
21423,ACCU CHEK ACTIVE STRIPS,SURGICAL,100PCS,1725
22598,ACCU CHEK ACTIVE10 S FREE,SURGICAL,10STRIPS,425
22599,ACCU CHEK INSTANT 50S  1X50,SURGICAL,50STRIPS,975
26183,ACCU INSTANT PLAIN METER,SURGICAL,1PCS,1549
17617,ACCU-CHEK SOFTCLIX LANCET  25L,SURGICAL,25LANCETS,125
31225,ACCUBID 500 TAB,ACCUFFY,10TAB,576
26231,ACCUC-CHEK INSTANT 100 S,SURGICAL,100PCS,1725
29661,ACCUDENT GEL,ELTROPIX,100GM,120
25157,ACCUFITT-COQ,ACCUFFY,10TAB,687
25158,ACCUFITT-LC,ACCUFFY,10TAB,307.8
29662,ACCUFRESH (MOUTHWASH),ELTROPIX,150ML,135
25159,ACCUMUNE CAP,ACCUFFY,10TAB,258.7
34463,ACCUNAC 5ML,HIS EYE,5ML,248
33861,ACCURATE ADVANCED KIT,GLENMARK,1KIT,65
26825,ACCUSURE ABDOMINAL SUPPORT M,SURGICAL,B3,585
26826,ACCUSURE ABDOMINAL SUPPORT XL,SURGICAL,B3,585
26827,ACCUSURE ABDOMINAL SUPPORT XXL,SURGICAL,B3,585
26490,ACCUSURE SL NEBULIZER - 1,SURGICAL,1PCS,1330
19021,ACE REVELOL 25/2.5 TABLET,IPCA LABORAT,10TAB,186.35
19408,ACE REVELOL 50/5 TABLET,IPCA LABORAT,10TAB,345
1900,ACECLO 100MG,ARISTO,10TAB,56
2682,ACECLO MR TAB,ARISTO,10TAB,95
6296,ACECLO PLUS 600MG,ARISTO,15TAB,54.83
1915,ACECLO PLUS TAB,ARISTO,15TAB,99.45
2855,ACECLO SERA TAB,ARISTO,10TAB,115
6114,ACECLO SPAS TAB,ARISTO,10TAB,137.8
2077,ACECLO SR TAB,ARISTO,10TAB,84.6
32562,ACECLOFINAC IP 100MG+PARACETAMOL IP 325MG,PLAKSHA,10TAB,62
17434,ACECLOREN P TABS,INDOCO R,10TAB,80
20690,ACEGABA NT 400MG/10MG TAB,EMCURE PHARM,15TAB,0
37337,ACEGLOW-MR,LIFEZIA,10CAP,80
32026,ACEGROW N TAB,FOREGEN,10TAB,195
15973,ACEMIZ MR TAB.,LUPIN GE,10TAB,120.3
15974,ACEMIZ PLUS TAB.,LUPIN GE,10TAB,108.9
15975,ACEMIZ S TAB.,LUPIN GE,10TAB,126.95
34982,ACEMYOSET SR TAB,SPARSH R,10TAB,239
9628,ACENAC MR TAB,MEDLEY,10TAB,235
29413,ACENAC P TAB,MEDLEY,15TAB,99
8726,ACENAC SR TAB,MEDLEY,10TAB,90
8527,ACENAC TAB,MEDLEY,10TAB,50
26763,ACENAC-SP TAB,MEDLEY,10TAB,121
28536,ACENDOL P STRIP,SERUM,10TAB,0
28535,ACENDOL P TAB,SERUM,10TAB,0
28537,ACENDOL R CAP,SERUM,10CAP,0
34005,ACEPACURE SP,SMMARTCU,10TAB,79
29663,ACEPIX-MR TAB,ELTROPIX,10TAB,85
29664,ACEPIX-SP TAB,ELTROPIX,10TAB,100
3173,ACEPROXYVON CAP,DR REDDY,10CAP,79.75
6211,ACEPROXYVON CR TAB,DR REDDY,10TAB,173.25
4402,ACEPROXYVON GEL 30G,DR REDDY,30GM,126
6751,ACEPROXYVON SP TAB,DR REDDY,10TAB,123
7106,ACEPROXYVON SPAS TAB,DR REDDY,10TAB,80
6932,ACEPROXYVON TH 4 TAB,DR REDDY,10TAB,260.75
6933,ACEPROXYVON TH 8 TAB,DR REDDY,10TAB,317.75
7277,ACEPROXYVON XR,WOCKHARD,10TAB,40
27976,ACERA -L,IPCA LABORAT,10CAP,239.25
27975,ACERA 20MG CAP,IPCA LABORAT,10CAP,99.65
19146,ACERA-D CAPSULE,IPCA LABORAT,10CAP,143.2
32520,ACERET 25 CAP,OAKNET,10TAB,713.57
18330,ACETAMIDE 250 TAB,MICRO,10TAB,38.01
28896,ACETIK EAR DROP 10ML,NULIFE,10ML,153
33937,ACETIK HC EAR DROP,NULIFE,10ML,186
30575,ACETONE SYP 100ML,AGGARWAL,100ML,76
28385,ACFOE-AZ 500MG TAB,INSUTIK,3TAB,71
15198,ACHIGUN FACE WASH,DER-JOIN,100ML,575
28352,ACHOO 2 IN 1 2ML,BRAWN CO,2ML,85
28350,ACHOO COUGH SYP 100ML,BRAWN CO,100ML,85
28353,ACHOO PAIN BALM 10ML,BRAWN CO,10ML,40
28351,ACHOO PAIN BALM PLUS 22ML,BRAWN CO,22ML,120
28354,ACHOO PAIN OIL 100ML,BRAWN CO,100ML,299
28355,ACHOO PAIN OIL 10ML,BRAWN CO,10ML,50
28356,ACHOO RUB 9ML,BRAWN CO,9ML,35
36869,ACIBAN 20 TAB,CADILA H,10TAB,40.5
20287,ACIBAN 40 TAB,CADILA H,1TAB,0
25744,ACIFIX 3X SUSP ORANGE180ML,MOREPEN,180ML,142
10023,ACILOC 150MG,CADILA H,30TAB,44.85
10024,ACILOC 300MG,CADILA H,20TAB,54.8
11361,ACILOC INJ,CADILA H,2ML,6.6
13964,ACILOC RD 20 TAB,CADILA H,15TAB,84.3
26764,ACILOC S SUSP 200 ML,CADILA H,200ML,146
16654,ACITROM 0.5,ABBOTT HEALT,10TAB,69.67
9043,ACITROM 1,ABBOTT HEALT,30TAB,320.33
9240,ACITROM 2,ABBOTT HEALT,30TAB,501.72
9045,ACITROM 3,ABBOTT HEALT,30TAB,582.79
9046,ACITROM 4,ABBOTT HEALT,30TAB,621.77
8126,ACIVIR 200DT TAB*,CIPLA,10TAB,85.23
34978,ACIVIR 400 DT TAB,CIPLA,10TAB,152.99
8128,ACIVIR 400DT TAB*,CIPLA,5TAB,152.99
8293,ACIVIR 800DT TAB,CIPLA,5TAB,210.89
15145,ACIVIR CREAM 10GM,CIPLA,10GM,161.05
8129,ACIVIR CREAM 5GM,CIPLA,5GM,72.53
26677,ACIVIR EYE OINT,CIPLA,5GM,0
10013,ACIVIR GEL,CIPLA,5GM,0
16716,ACIVIR-IV INJ 10ML,CIPLA,10ML,0
11131,ACLAIM TOOTHPASTE,GROUP,70GM,246
26355,ACLIND BP 2.5 GEL,MOHRISH,15GM,236
17079,ACLIND BP 5%GEL,MOHRISH,15GM,236
22431,ACLIND GEL 1%  15GM,MOHRISH,15GM,88
36066,ACMIST MOISTURISING GEL 100GM,BRINTON,100GM,699
